product_id,product_name,category,price
1,Oats 0001,Grocery,955.72
2,Jacket 0002,Fashion,1014.9
3,Coffee 0003,Grocery,842.01
4,Calculator 0004,Office,128.99
5,Cookware Set 0005,Home & Kitchen,37507.15
6,Sneakers 0006,Fashion,870.88
7,WiFi Adapter 0007,Computers,921.34
8,Keyboard 0008,Electronics,39501.66
9,Sneakers 0009,Fashion,1296.76
10,Laptop 0010,Computers,6732.23
11,Green Tea 0011,Grocery,2775.65
12,Vacuum Cleaner 0012,Home & Kitchen,409.57
13,Power Bank 0013,Electronics,45289.97
14,Webcam 0014,Electronics,577.8
15,Air Fryer 0015,Home & Kitchen,758.58
16,Mouse 0016,Electronics,76136.16
17,Wireless Earbuds 0017,Electronics,987.13
18,USB Hub 0018,Electronics,60579.71
19,Laptop Stand 0019,Computers,2439.05
20,Bottle 0020,Home & Kitchen,14481.62
21,Honey 0021,Grocery,64.66
22,Bottle 0022,Home & Kitchen,898.63
23,Lamp 0023,Home & Kitchen,1829.96
24,Green Tea 0024,Grocery,83.67
25,Router 0025,Electronics,18796.49
26,Bottle 0026,Home & Kitchen,3829.28
27,Mixer Grinder 0027,Home & Kitchen,24318.79
28,Lamp 0028,Home & Kitchen,8018.18
29,Car Charger 0029,Mobiles,6771.5
30,Car Charger 0030,Mobiles,4150.15
31,Novel 0031,Books,128.14
32,Oats 0032,Grocery,650.35
33,Kurta 0033,Fashion,396.54
34,Smart Watch 0034,Electronics,57832.66
35,Kurta 0035,Fashion,885.84
36,Backpack 0036,Fashion,5222.54
37,Watch 0037,Fashion,2001.56
38,Badminton Racket 0038,Sports,465.0
39,Bottle 0039,Home & Kitchen,38650.98
40,Protein Cereal 0040,Grocery,310.79
41,Smart Watch 0041,Electronics,628.64
42,Power Bank 0042,Electronics,39143.36
43,SSD 0043,Electronics,8266.16
44,Honey 0044,Grocery,71.3
45,Cricket Bat 0045,Sports,548.07
46,Wireless Earbuds 0046,Electronics,1470.09
47,Vacuum Cleaner 0047,Home & Kitchen,3186.54
48,Desk Organizer 0048,Office,3232.02
49,Honey 0049,Grocery,461.57
50,Router 0050,Electronics,19180.69
51,Cricket Bat 0051,Sports,1940.58
52,Watch 0052,Fashion,9302.16
53,Cricket Bat 0053,Sports,205.14
54,File Folder 0054,Office,533.21
55,RAM Kit 0055,Computers,7898.06
56,Headphones 0056,Electronics,518.16
57,Graphics Tablet 0057,Computers,2629.69
58,Laptop 0058,Computers,56433.95
59,Gym Gloves 0059,Sports,2028.23
60,Phone Stand 0060,Mobiles,857.77
61,Desk Organizer 0061,Office,4718.11
62,Honey 0062,Grocery,382.88
63,Yoga Mat 0063,Sports,260.77
64,Car Charger 0064,Mobiles,7514.63
65,AI Fundamentals 0065,Books,200.33
66,File Folder 0066,Office,158.41
67,Shirt 0067,Fashion,387.62
68,Wireless Charger 0068,Mobiles,81323.34
69,Headphones 0069,Electronics,1165.04
70,Gaming Mouse 0070,Computers,4521.08
71,Phone Stand 0071,Mobiles,7091.81
72,Football 0072,Sports,22817.0
73,Serum 0073,Beauty,1713.93
74,Screen Guard 0074,Mobiles,3732.97
75,Pen Set 0075,Office,331.88
76,Sneakers 0076,Fashion,952.44
77,System Design Book 0077,Books,543.83
78,Peanut Butter 0078,Grocery,234.09
79,Keyboard 0079,Electronics,7240.76
80,Protein Cereal 0080,Grocery,1055.27
81,Storage Box 0081,Home & Kitchen,597.23
82,Dumbbell Set 0082,Sports,21092.36
83,Router 0083,Electronics,11401.03
84,Wireless Charger 0084,Mobiles,79004.92
85,Mixer Grinder 0085,Home & Kitchen,6564.5
86,Bottle 0086,Home & Kitchen,707.4
87,Backpack 0087,Fashion,1950.11
88,Sneakers 0088,Fashion,8511.76
89,Mixer Grinder 0089,Home & Kitchen,2650.02
90,Router 0090,Electronics,10956.95
91,Mechanical Keyboard 0091,Computers,1567.9
92,Football 0092,Sports,12673.84
93,Graphics Tablet 0093,Computers,929.68
94,Headphones 0094,Electronics,67745.06
95,Vacuum Cleaner 0095,Home & Kitchen,426.59
96,Laptop 0096,Computers,7365.58
97,Backpack 0097,Fashion,6526.7
98,Jeans 0098,Fashion,231.11
99,Python Guide 0099,Books,322.69
100,Docking Station 0100,Computers,3464.19
101,Trimmer 0101,Beauty,582.98
102,USB Hub 0102,Electronics,15065.53
103,Toaster 0103,Home & Kitchen,11622.02
104,Mouse 0104,Electronics,61275.72
105,Phone Stand 0105,Mobiles,16483.95
106,Smartphone 0106,Mobiles,2559.62
